date,pct_change_1d,pct_change_3d,pct_change_7d,pct_change_14d,pct_vs_7ma,pct_vs_30ma,pct_vs_90ma,ema_crossover,slope_7d_pct,slope_30d_pct,vol_pct_7d,spread_pct,volume_ratio,rsi_14,range_position_7d,lag_return_1d,lag_return_2d,lag_return_3d,lag_return_7d,lag_return_14d,target_pct_7d,item_id
2025-07-30,-0.0043898156277436,0.0216216216216216,-0.0470588235294118,-0.0757946210268948,-0.0019488275601936,-0.0730750367827367,-0.0804079867368269,-0.0209630573862413,-0.0031651549508692,-0.0040850798359141,0.0150383485756296,0.0145502645502645,0.8786553934991398,24.59016393442623,0.4137931034482758,-0.0043898156277436,0.0017667844522968,0.0216216216216216,-0.0470588235294117,-0.0757946210268948,-0.0026455026455026,536
2025-07-31,0.0013227513227513,0.0030918727915194,-0.0278253424657534,-0.070785597381342,0.0034717838656734,-0.0708743027806946,-0.076858455243059,-0.0191142581695842,0.0007705856450902,-0.0048791430764355,0.0086900709550608,0.014971378247468,0.7217935055075854,25.90529247910864,0.8793103448275862,0.0013227513227513,-0.0030728709394205,0.0030918727915194,-0.0278253424657534,-0.070785597381342,0.0427124614707177,536
2025-08-01,0.0066050198150593,0.0035118525021948,0.0043936731107205,-0.0592592592592592,0.0094625283875852,-0.0638437282443998,-0.0683373258283484,-0.0165123105696631,0.0026402949631295,-0.0055598862155578,0.009244690891029,0.0157480314960629,0.8703348279111028,30.0,1.0,0.0066050198150594,0.0079365079365079,0.0035118525021949,0.0043936731107205,-0.0592592592592592,0.0240594925634295,536
2025-08-02,0.0008748906386701,0.0088183421516754,0.0101545253863135,-0.0498338870431893,0.0088818897637796,-0.0618208657381464,-0.0651685393258427,-0.0141682057717937,0.0037618631368631,-0.0061695395816641,0.0100189105977531,0.0126748251748251,0.9947391789340896,32.35294117647058,1.0,0.0008748906386701,0.007485689123734,0.0088183421516754,0.0101545253863134,-0.0498338870431893,0.0122377622377622,536
2025-08-03,0.0087412587412587,0.0162923822104799,0.0396396396396396,-0.0540983606557377,0.0120904591868695,-0.0521171300669432,-0.0547784381000918,-0.0111508014602632,0.0026306016340678,-0.0065257372431914,0.0065416342998218,0.0142980935875216,1.066980617840098,29.8780487804878,1.0,0.0087412587412587,0.0096237970253718,0.0162923822104799,0.0396396396396396,-0.0540983606557377,-0.0103986135181975,536
2025-08-04,-0.0056325823223569,0.0039370078740157,0.0136925795053004,-0.0532178217821782,0.0044391646867576,-0.0544011207097828,-0.0579290402324276,-0.0094789018374493,0.002303143479614,-0.0066671998177592,0.0060920610027779,0.0174291938997821,0.9896401602643032,30.15384615384616,0.675,-0.005632582322357,0.0030594405594405,0.0039370078740157,0.0136925795053003,-0.0532178217821782,-0.0230936819172113,536
2025-08-05,-0.0100217864923747,-0.0069930069930069,-0.0026338893766462,-0.0493723849372385,-0.0052539404553415,-0.0604322893692103,-0.0652300124800569,-0.0092490398184995,0.0012889839034205,-0.0068350592990647,0.0064437180915587,0.0180457746478873,1.0241153984704536,31.210191082802552,0.1,-0.0100217864923747,-0.0155979202772963,-0.0069930069930069,-0.0026338893766461,-0.0493723849372384,-0.0272887323943661,536
2025-08-06,-0.0044014084507042,-0.0199306759098787,-0.0026455026455026,-0.0495798319327731,-0.0092604179702165,-0.0606832401306682,-0.0672464113407587,-0.0093067246951907,-0.0007578628268284,-0.0068719640350955,0.0070106104486344,0.0172413793103448,1.0242308842418428,31.210191082802552,0.0,-0.0044014084507042,-0.0143790849673202,-0.0199306759098786,-0.0026455026455026,-0.0495798319327731,-0.0389036251105216,536
2025-08-07,0.0468611847922193,0.0318082788671023,0.0427124614707177,0.0136986301369863,0.0309098824553765,-0.0128123176120729,-0.0216627876551031,-0.0036323562419354,0.0023829633204633,-0.0059692826864684,0.0146470820912408,0.015625,1.191636904861409,54.25531914893617,1.0,0.0468611847922192,0.0422535211267605,0.0318082788671024,0.0427124614707177,0.0136986301369863,-0.1047297297297297,536
2025-08-08,-0.0114020270270269,0.0303697183098592,0.0240594925634296,0.0285588752196837,0.0156811701995786,-0.0192847467567831,-0.0308915117338068,-0.001206865180729,0.0037529749191432,-0.0053332788484428,0.016173120719998,0.0205040580948312,0.9992734122079998,59.475218658892125,0.7452830188679245,-0.011402027027027,0.0349248452696728,0.0303697183098591,0.0240594925634295,0.0285588752196836,-0.1059376334899615,536
2025-08-09,-0.0106791969243912,0.0238726790450929,0.0122377622377622,0.0225165562913907,0.0030936765251826,-0.0251020780423465,-0.0394292982359121,-0.000854005749881,0.0032691833209967,-0.0047818435759556,0.0160871283309083,0.0189982728842832,1.0792819164757683,57.14285714285714,0.5094339622641509,-0.0106791969243912,-0.0219594594594594,0.0238726790450928,0.0122377622377622,0.0225165562913907,-0.1131260794473229,536
2025-08-10,-0.0138169257340241,-0.035472972972973,-0.0103986135181975,0.0288288288288287,-0.0092948320733672,-0.033800076145353,-0.0509169483073854,-0.0022127786023005,0.0020953214911182,-0.0043214975191349,0.0168281412807906,0.0223292469352014,1.1560684696011148,59.30232558139535,0.2075471698113207,-0.0138169257340241,-0.0243485689876121,-0.0354729729729729,-0.0103986135181975,0.0288288288288288,-0.1103327495621716,536
2025-08-11,-0.0183887915936952,-0.0422896198205895,-0.0230936819172112,-0.0097173144876324,-0.0243083618277897,-0.0467551977777462,-0.0666197925821761,-0.0051620869552785,-0.0015611061552185,-0.0040269741679475,0.0202578782018796,0.0209634255129348,0.9873225804012312,46.78362573099415,0.0,-0.0183887915936952,-0.0319516407599309,-0.0422896198205894,-0.0230936819172113,-0.0097173144876325,-0.0856378233719892,536
2025-08-12,-0.0142729705619981,-0.0457685664939551,-0.0272887323943662,-0.0298507462686566,-0.0345128877238969,-0.054815026017535,-0.0784926010693007,-0.0085688113439156,-0.0075145442792502,-0.0036508136239864,0.0253810796504134,0.0194570135746606,0.9738009153675284,40.55555555555556,0.0,-0.0142729705619982,-0.0323992994746059,-0.045768566493955,-0.0272887323943661,-0.0298507462686567,-0.0687782805429864,536
2025-08-13,-0.016289592760181,-0.0481611208406305,-0.0389036251105217,-0.0414462081128748,-0.0449952933793536,-0.0646243868858101,-0.0922882075406048,-0.0123974690143364,-0.0150808253384151,-0.0033900490476487,0.0326704147553798,0.0206991720331186,0.9406764820230894,37.82383419689119,0.0,-0.0162895927601809,-0.0303300624442462,-0.0481611208406304,-0.0389036251105216,-0.0414462081128747,-0.0496780128794848,536
2025-08-14,-0.0248390064397424,-0.0544157002676182,-0.1047297297297297,-0.0664905328049317,-0.0539937527889335,-0.0824364486250974,-0.1135600228578862,-0.0173623051238617,-0.0172001347708895,-0.003421831384977,0.0373238118060367,0.020754716981132,0.9939806795522012,32.723112128146454,0.0,-0.0248390064397424,-0.0407239819004524,-0.0544157002676181,-0.1047297297297297,-0.0664905328049317,-0.0396226415094339,536
2025-08-15,-0.0127358490566037,-0.0529411764705882,-0.1059376334899615,-0.084426946631671,-0.0510395751020143,-0.0893797224196191,-0.1232242929753681,-0.0215396381129804,-0.018172820967852,-0.0036633579700756,0.0393428162325794,0.020066889632107,1.010376936097254,28.50779510022272,0.0,-0.0127358490566037,-0.0372585096596136,-0.0529411764705882,-0.1059376334899615,-0.084426946631671,-0.0272336359292881,536
2025-08-16,-0.0186335403726708,-0.0551977920883164,-0.113126079447323,-0.1022727272727272,-0.0526454503525071,-0.1012645304318656,-0.1374338587306476,-0.0257409920431891,-0.0187439143135346,-0.0040119228007317,0.0405664670068646,0.0175267770204479,1.1510954854313251,25.925925925925924,0.0,-0.0186335403726708,-0.0311320754716981,-0.0551977920883164,-0.1131260794473229,-0.1022727272727272,-0.0087633885102239,536
2025-08-17,-0.0107108081791625,-0.0415094339622641,-0.1103327495621716,-0.119584055459272,-0.0469681742043551,-0.1056994058534437,-0.1444690824374771,-0.0289336268565904,-0.0179801743532058,-0.0043693561525054,0.0390079604028428,0.0201771653543307,1.2367375350049132,21.72131147540984,0.0,-0.0107108081791626,-0.029144768275203,-0.0415094339622641,-0.1103327495621716,-0.1195840554592721,0.0083661417322834,536
2025-08-18,0.0088582677165354,-0.0205446727185857,-0.0856378233719893,-0.1067538126361655,-0.0259960632593497,-0.0930139956051734,-0.1346194436236228,-0.0291430126465975,-0.0144599303135888,-0.0045732114273311,0.032789190537717,0.0180487804878048,0.9006039176068155,25.15212981744422,0.1011235955056179,0.0088582677165354,-0.0019474196689386,-0.0205446727185857,-0.0856378233719892,-0.1067538126361655,0.0058536585365853,536
2025-08-19,0.0039024390243902,0.0019474196689386,-0.0687782805429864,-0.0941901408450703,-0.0120019203072491,-0.0843159065628476,-0.1289831082352055,-0.027907875382915,-0.009527280299875,-0.0045869992681643,0.02421918713159,0.0184645286686103,0.9509723075241264,27.615062761506262,0.1830985915492957,0.0039024390243902,0.0127952755905511,0.0019474196689386,-0.0687782805429864,-0.0941901408450704,-0.0072886297376093,536
2025-08-20,0.0038872691933915,0.0167322834645669,-0.0496780128794848,-0.0866489832007073,-0.0007600359289711,-0.0758495236107176,-0.1234372348249137,-0.0257511521892415,-0.0040796570322224,-0.0045468397175737,0.0143145977463572,0.0145208131655372,0.9346035320491172,29.41176470588236,0.3863636363636363,0.0038872691933916,0.0078048780487804,0.0167322834645669,-0.0496780128794848,-0.0866489832007073,-0.0019361084220716,536
2025-08-21,-0.0145208131655372,-0.0068292682926829,-0.0396226415094339,-0.1402027027027027,-0.0095211619987489,-0.0844363167598519,-0.1340755722737841,-0.0251927030257864,-0.0021225091215267,-0.0047231042568582,0.0100010788469041,0.0142436149312377,0.9620568224473892,8.499999999999986,0.0655737704918032,-0.0145208131655372,-0.010689990281827,-0.0068292682926829,-0.0396226415094339,-0.1402027027027027,0.0088408644400785,536
2025-08-22,0.0,-0.010689990281827,-0.027233635929288,-0.1302862024775737,-0.0055819145967066,-0.0796908195091082,-0.1320411527311998,-0.0240167522588795,-0.000526241930957,-0.0047888835226217,0.0063589280449093,0.0157170923379174,0.8156209206430958,9.11528150134049,0.1176470588235294,0.0,-0.0145208131655372,-0.010689990281827,-0.0272336359292881,-0.1302862024775737,0.0004911591355599,536
2025-08-23,0.0,-0.0145208131655372,-0.0087633885102239,-0.1208981001727115,-0.0043314237809138,-0.0755119647641103,-0.1299971512676858,-0.0224695802906989,-0.0006665731125456,-0.0049285278775151,0.0064876933099926,0.0142436149312377,0.98056377497777,9.770114942528735,0.1176470588235294,0.0,0.0,-0.0145208131655372,-0.0087633885102239,-0.1208981001727115,0.005893909626719,536
